id,value
356359,359
104775,775
376945,945
220757,757
128300,300
281872,872
320953,953
414571,571
173256,256
294125,125
494473,473
397364,364
490587,587
388691,691
468398,398
101692,692
485777,777
46388,388
237703,703
444101,101
77353,353
396307,307
436082,82
449802,802
176946,946
350828,828
114617,617
474666,666
258039,39
486675,675
105966,966
379032,32
339175,175
198540,540
336950,950
459807,807
143501,501
374000,0
389597,597
75545,545
19669,669
470994,994
462833,833
321331,331
490990,990
411130,130
468162,162
460864,864
485080,80
4984,984
121644,644
292618,618
364584,584
451805,805
224335,335
150865,865
287775,775
158872,872
158700,700
53176,176
344957,957
469670,670
55352,352
284021,21
141134,134
283190,190
125334,334
471437,437
119113,113
108592,592
254125,125
36559,559
179259,259
37797,797
34870,870
299626,626
110937,937
219269,269
207225,225
346679,679
475536,536
5508,508
52822,822
450551,551
56116,116
1818,818
132693,693
362396,396
250448,448
21274,274
179462,462
300552,552
199696,696
341856,856
135918,918
322849,849
207541,541
74553,553
490611,611
210206,206
451901,901
63560,560
12962,962
64302,302
477026,26
158248,248
315459,459
356912,912
109589,589
462616,616
154150,150
274467,467
92100,100
28836,836
54732,732
90247,247
400033,33
181944,944
73909,909
10971,971
32175,175
398531,531
326247,247
490625,625
167945,945
178921,921
295821,821
198094,94
219853,853
192009,9
161355,355
164404,404
190004,4
489233,233
219199,199
42078,78
337868,868
368555,555
161093,93
46393,393
265205,205
448526,526
400277,277
267039,39
342321,321
45175,175
242867,867
316494,494
384329,329
124472,472
484594,594
149431,431
485110,110
190148,148
386563,563
330932,932
60243,243
1748,748
382209,209
70253,253
8051,51
334889,889
333441,441
112129,129
54016,16
347257,257
68107,107
88618,618
417343,343
7702,702
122946,946
356155,155
169448,448
474534,534
419100,100
340702,702
37220,220
125859,859
288282,282
381229,229
45164,164
194373,373
192080,80
466387,387
116495,495
89364,364
239549,549
226720,720
206660,660
355944,944
79901,901
25060,60
483395,395
459773,773
56997,997
450175,175
183993,993
166356,356
462245,245
499612,612
162547,547
94384,384
344274,274
486791,791
33801,801
426625,625
324467,467
358487,487
220077,77
481298,298
401947,947
403315,315
170866,866
78583,583
318492,492
145355,355
294534,534
497855,855
109982,982
115216,216
98240,240
371719,719
328556,556
125548,548
189547,547
214459,459
365733,733
264263,263
405425,425
158228,228
216544,544
163390,390
20181,181
412136,136
338559,559
388957,957
55591,591
69857,857
407663,663
244351,351
463145,145
273192,192
87900,900
219527,527
192689,689
466532,532
355054,54
381900,900
363789,789
233889,889
16648,648
472162,162
424183,183
484868,868
207638,638
276189,189
334924,924
467704,704
56843,843
300951,951
105678,678
100204,204
191324,324
431255,255
340282,282
326339,339
74313,313
5727,727
253815,815
390880,880
461700,700
170713,713
158225,225
248736,736
73935,935
200390,390
442956,956
165299,299
464995,995
224804,804
434765,765
407299,299
346871,871
150859,859
21397,397
75722,722
416435,435
395087,87
482731,731
364096,96
169635,635
134602,602
496413,413
264744,744
188679,679
431219,219
14978,978
304227,227
393505,505
494327,327
62961,961
286184,184
268074,74
31325,325
415040,40
397055,55
271161,161
431020,20
262998,998
38058,58
114642,642
421758,758
176091,91
398747,747
